Time (s),Real Voltage (V),AIN1 (V)
0.0031883716583251953,2.8665469358384144,2.866839647293091
0.5164058208465576,2.8669421233062167,2.8671557903289795
0.929487943649292,2.866863078874303,2.8671557903289795
1.32853364944458,2.866863078874303,2.8671557903289795
1.7480216026306152,2.8662305543839466,2.866523265838623
2.174623966217041,2.8667839239060413,2.8670766353607178
2.579716444015503,2.8667839239060413,2.8670766353607178
2.996758222579956,2.8667840517882723,2.866997718811035
3.412777900695801,2.8667839239060413,2.8670766353607178
3.828916311264038,2.866863078874303,2.8671557903289795
4.2508933544158936,2.866625852388097,2.8669185638427734
4.673939943313599,2.8669419954239856,2.867234706878662
5.087447881698608,2.8669419954239856,2.867234706878662
5.50108528137207,2.8667839239060413,2.8670766353607178
5.915631532669067,2.8667839239060413,2.8670766353607178
6.3301942348480225,2.8665469358384144,2.866839647293091
6.749260187149048,2.86710006694193,2.8673927783966064
7.1683433055877686,2.8667048968200106,2.8669185638427734
7.589784383773804,2.8667050073563587,2.866997718811035
8.011833667755127,2.8663097093522083,2.8666024208068848
8.434436559677124,2.8670210398558993,2.867234706878662
8.857516527175903,2.8665468253020663,2.866760492324829
9.278965711593628,2.866625852388097,2.8669185638427734
9.694016456604004,2.8667839239060413,2.8670766353607178
10.110805988311768,2.8665468253020663,2.866760492324829
10.526745319366455,2.866863078874303,2.8671557903289795
10.941924095153809,2.866862968337955,2.8670766353607178
11.357289552688599,2.8674953649460804,2.867788076400757
11.769986152648926,2.867100194824161,2.867313861846924
12.184998035430908,2.8671792219101917,2.867471933364868
12.602451086044312,2.8667839239060413,2.8670766353607178
13.020492553710938,2.8670211503922474,2.867313861846924
13.439548015594482,2.8669419954239856,2.867234706878662
13.859605073928833,2.867337293428136,2.8676300048828125
14.278664112091064,2.8667050073563587,2.866997718811035
14.700319528579712,2.866863078874303,2.8671557903289795
15.121777057647705,2.8664677808701526,2.866760492324829
15.542412757873535,2.866863078874303,2.8671557903289795
15.961886405944824,2.8667050073563587,2.866997718811035
16.38048815727234,2.8665469358384144,2.866839647293091
16.802951097488403,2.86710006694193,2.8673927783966064
17.223631143569946,2.866863078874303,2.8671557903289795
17.64768362045288,2.8667839239060413,2.8670766353607178
18.068745136260986,2.8671792219101917,2.867471933364868
18.493178129196167,2.8667050073563587,2.866997718811035
18.914279460906982,2.866862968337955,2.8670766353607178
19.335901975631714,2.86710006694193,2.8673927783966064
19.73092007637024,2.8667839239060413,2.8670766353607178
20.15247392654419,2.8670211503922474,2.867313861846924
20.576488256454468,2.866625852388097,2.8669185638427734
20.99912452697754,2.8669421233062167,2.8671557903289795
21.425737142562866,2.8667050073563587,2.866997718811035
21.85165762901306,2.8676535643462557,2.8678672313690186
22.27730441093445,2.866862968337955,2.8670766353607178
22.700297355651855,2.8670210398558993,2.867234706878662
23.113401889801025,2.8665469358384144,2.866839647293091
23.529858827590942,2.8669421233062167,2.8671557903289795
23.941514253616333,2.86638886432047,2.8666815757751465
24.351985216140747,2.8671792219101917,2.867471933364868
24.76204490661621,2.866862968337955,2.8670766353607178
25.17405414581299,2.8667839239060413,2.8670766353607178
25.59072709083557,2.8667839239060413,2.8670766353607178
26.006762981414795,2.866863078874303,2.8671557903289795
26.421257495880127,2.8667840517882723,2.866997718811035
26.836897373199463,2.867337293428136,2.8676300048828125
27.249999046325684,2.86710006694193,2.8673927783966064
27.666008472442627,2.867337293428136,2.8676300048828125
28.08147883415222,2.8663097093522083,2.8666024208068848
28.49711275100708,2.8667050073563587,2.866997718811035
28.91017508506775,2.8664677808701526,2.866760492324829
29.315643548965454,2.8670211503922474,2.867313861846924
29.731279373168945,2.866862968337955,2.8670766353607178
30.146755695343018,2.8667839239060413,2.8670766353607178
30.56337809562683,2.867337293428136,2.8676300048828125
30.984482526779175,2.8669419954239856,2.867234706878662
31.40491509437561,2.8667839239060413,2.8670766353607178
31.82497239112854,2.8662305543839466,2.866523265838623
32.24298858642578,2.8667840517882723,2.866997718811035
32.66408181190491,2.866862968337955,2.8670766353607178
33.082287073135376,2.8671791113738436,2.8673927783966064
33.49778485298157,2.8669419954239856,2.867234706878662
33.91783261299133,2.866862968337955,2.8670766353607178
34.33730745315552,2.8667048968200106,2.8669185638427734
34.75289869308472,2.866862968337955,2.8670766353607178
35.17203712463379,2.8664677808701526,2.866760492324829
35.593050956726074,2.866625852388097,2.8669185638427734
36.016481161117554,2.8674954928283114,2.867709159851074
36.43815875053406,2.866862968337955,2.8670766353607178
36.8606379032135,2.8663095988158602,2.866523265838623
37.281306982040405,2.8670210398558993,2.867234706878662
37.70129060745239,2.8667839239060413,2.8670766353607178
38.12279438972473,2.867100194824161,2.867313861846924
38.5428524017334,2.8665469358384144,2.866839647293091
38.96349263191223,2.8669421233062167,2.8671557903289795
39.38596796989441,2.8664677808701526,2.866760492324829
39.80806517601013,2.8665469358384144,2.866839647293091
